rank,spotify_id,track_name,artists,search_query
161,5wKKqwuoee1M9jhFcRpS1D,My Dealer (Remix),KAESTYLE; Kizz Daniel,KAESTYLE Kizz Daniel My Dealer (Remix)
162,4pJ4RHdtx4XNcF7ktQnG53,Gold,J Hus; Asake,J Hus Asake Gold
163,1edi2KPh2oghMy8ExJiFBN,Can't Breathe,Llona,Llona Can't Breathe
164,3cC17ZyEHU4ljycyCaWbbr,understand,Omah Lay,Omah Lay understand
165,0SjQBdIddPvKSWxr8vk6QX,Dumebi,Rema,Rema Dumebi
166,6l7opVclJEHReImCPkMc5o,Stubborn,Victony; Asake,Victony Asake Stubborn
167,4NyIA6tMmqXbAZ0v8F3clZ,Magdalene,Joeboy,Joeboy Magdalene
168,2GSK9VfsKWpVOV6ZzKiMA4,alone - Remix,FOLA; BNXN,FOLA BNXN alone - Remix
169,3Xfwu3xtPqmJ4nM4jpBm8O,Damages,Tems,Tems Damages
170,40EXFgNMOIQRQOwJZ8mJkC,Who Told You (feat. Drake),J Hus; Drake,J Hus Drake Who Told You (feat. Drake)
171,4P5F6K63Y8pWe86aaH5xSa,Blessings (Let it go),1UCID,1UCID Blessings (Let it go)
172,6O2hrfRRPBJ59PwKhSKFHz,Ogechi (feat. Davido) - Remix,BoyPee; Hyce; Brown Joel; Davido,BoyPee Hyce Brown Joel Davido Ogechi (feat. Davido) - Remix
173,7jDMQi5XZooBgF5i7m3DBo,Phenomena,BNXN,BNXN Phenomena
174,4FHlbOMdOcPnOYmfH8dl1Z,Dem Dey,Burna Boy,Burna Boy Dem Dey
175,2m8yLRwDDjKh3CWSTLqEdN,Do Me,Runtown,Runtown Do Me
176,4E8EciYYzTKF4REO51XQiS,DND,Rema,Rema DND
177,6b56cSwwp8JXDQiZ4dXkBf,Dudu,Ruger; Kranium,Ruger Kranium Dudu
178,6wN5G9LhuljafQRHzb4K6s,Vex For U (feat. Fireboy DML & Ayo Maff),Lil Kesh; Fireboy DML; Ayo Maff,Lil Kesh Fireboy DML Ayo Maff Vex For U (feat. Fireboy DML & Ayo Maff)
179,3x11dxRSmvNxq46e5IhNCO,yawa,Fireboy DML,Fireboy DML yawa
180,1rDAxzBd3KhzIAZyTZylmX,Joy Is Coming,Fido,Fido Joy Is Coming
181,5FG7Tl93LdH117jEKYl3Cm,Essence (feat. Tems),Wizkid; Tems,Wizkid Tems Essence (feat. Tems)
182,2OjTITI1CrRiIiqiNj9KOu,Sensational (feat. Davido & Lojay),Chris Brown; Davido; Lojay,Chris Brown Davido Lojay Sensational (feat. Davido & Lojay)
183,1PoJXULCvl03b1fiZmMxmd,On the Low,Burna Boy,Burna Boy On the Low
184,0MHeylwUJh7T87vx1MEtB2,Feel Good,DJ Boat; OmoAkin,DJ Boat OmoAkin Feel Good
185,3QO1m6i0nsrp8aOnapvbkx,Blessed (feat. Damian Marley),Wizkid; Damian Marley,Wizkid Damian Marley Blessed (feat. Damian Marley)
186,6jdTkoEaer7XNGSblczoSu,Mood (feat. BNXN),Wizkid; BNXN,Wizkid BNXN Mood (feat. BNXN)
187,1mSdbey7RstGLY2udgXv74,Essence (feat. Justin Bieber & Tems),Wizkid; Justin Bieber; Tems,Wizkid Justin Bieber Tems Essence (feat. Justin Bieber & Tems)
188,3GMdp6clyAh7wZWVYOtoS9,Amapiano,Asake; Olamide,Asake Olamide Amapiano
189,3JozQbIWMHBTKIghXKehVy,Commas,Ayra Starr,Ayra Starr Commas
